date,topic_n,counts
2016-10-17,0,35814.0
2016-10-17,1,9413.0
2016-10-17,2,3831.0
2016-10-18,-1,117790.0
2016-10-18,0,378318.0
2016-10-18,1,103825.0
2016-10-18,2,40920.0
2016-10-18,3,25214.0
2016-10-17,-1,12043.0
2016-10-17,3,2246.0
2016-10-17,4,1594.0
2016-10-18,4,16698.0
2016-10-18,5,11581.0
2016-10-17,5,1128.0
2016-10-17,6,787.0
2016-10-18,6,8085.0
2016-10-17,7,535.0
2016-10-18,7,5125.0
2016-10-17,8,302.0
2016-10-17,9,182.0
2016-10-18,8,3327.0
2016-10-18,9,2000.0
2016-10-17,10,93.0
2016-10-17,11,23.0
2016-10-17,12,7.0
2016-10-18,10,919.0
2016-10-18,11,347.0
2016-10-18,12,111.0
2016-10-17,13,2.0
2016-10-18,13,20.0
2016-10-19,-1,189455.0
2016-10-19,0,506898.0
2016-10-19,1,144677.0
2016-10-19,2,73132.0
2016-10-19,3,45241.0
2016-10-19,4,31449.0
2016-10-19,5,22946.0
2016-10-19,6,16645.0
2016-10-19,7,11516.0
2016-10-19,8,7440.0
2016-10-19,9,4313.0
2016-10-19,10,1940.0
2016-10-19,11,702.0
2016-10-19,12,220.0
2016-10-19,13,116.0
2016-10-19,14,24.0
2016-10-19,15,12.0
2016-10-20,0,345054.0
2016-10-20,1,91815.0
2016-10-20,2,40915.0
2016-10-20,3,25803.0
2016-10-20,4,19038.0
2016-10-20,5,14329.0
2016-10-20,6,11039.0
2016-10-20,7,8396.0
2016-10-20,8,6564.0
2016-10-20,9,5085.0
2016-10-20,-1,105359.0
2016-10-20,10,3852.0
2016-10-20,11,2750.0
2016-10-20,12,1782.0
2016-10-20,13,1044.0
2016-10-20,14,533.0
2016-10-20,15,274.0
2016-10-20,16,129.0
2016-10-20,17,47.0
2016-10-20,18,12.0
2016-10-21,-1,85800.0
2016-10-21,0,274368.0
2016-10-21,1,76748.0
2016-10-21,2,32571.0
2016-10-21,3,20261.0
2016-10-21,4,14013.0
2016-10-21,5,10467.0
2016-10-21,6,7361.0
2016-10-21,7,5138.0
2016-10-21,8,3376.0
2016-10-21,9,2171.0
2016-10-21,10,1426.0
2016-10-21,11,762.0
2016-10-21,12,391.0
2016-10-21,13,145.0
2016-10-21,14,33.0
2016-10-21,15,8.0
2016-10-21,16,11.0
2016-10-22,-1,9313.0
2016-10-22,0,56886.0
2016-10-22,1,18736.0
2016-10-22,2,10454.0
2016-10-22,3,7054.0
2016-10-22,4,5180.0
2016-10-22,5,4047.0
2016-10-22,6,3016.0
2016-10-22,7,2229.0
2016-10-22,8,1558.0
2016-10-22,9,938.0
2016-10-22,10,574.0
2016-10-22,11,297.0
2016-10-22,12,195.0
2016-10-22,13,37.0
2016-10-22,14,34.0
2016-10-22,15,12.0
2016-10-22,16,11.0
2016-10-22,17,11.0
